instruction,category
When did Virgin Australia start operating?,closed_qa
Which is a species of fish? Tope or Rope,classification
Why can camels survive for long without water?,open_qa
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",open_qa
When was Tomoaki Komorida born?,closed_qa
"If I have more pieces at the time of stalemate, have I won?",information_extraction
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",closed_qa
Who gave the UN the land in NY to build their HQ,open_qa
Why mobile is bad for human,brainstorming
Who was John Moses Browning?,information_extraction
Who is Thomas Jefferson?,information_extraction
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,closed_qa
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,information_extraction
What is a polygon?,open_qa
How do I start running?,general_qa
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,open_qa
What is process mining?,information_extraction
What are some unique curtain tie backs that you can make yourself?,brainstorming
What is a dispersive prism?,summarization
"Identify which instrument is string or percussion: Cantaro, Gudok",classification
Give me the top 5 golf equipment company names.,brainstorming
What individual has won the most Olympic gold medals in the history of the games?,open_qa
Which Dutch artist painted “Girl with a Pearl Earring”?,open_qa
What happens when the sun goes down?,open_qa
What is a verb?,open_qa
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,information_extraction
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",classification
"Identify which instrument is string or woodwind: Panduri, Zurna",classification
What is the average lifespan of a Golden Retriever?,information_extraction
Who became king of Holland in 1806?,open_qa
What is best Playstation or Xbox,general_qa
Who played Billy the Kid in The Left Handed Gun,open_qa
why did Syd Barrett left the Pink Floyd?,open_qa
what is REST API,general_qa
What is underwriting?,open_qa
Give me a list of some characteristics of a good coffee shop?,brainstorming
Please summarize what Linkedin does.,summarization
Who saved Andromeda from the sea monster,open_qa
How can I contribute to Spark?,general_qa
"Who are ''The Lumières"" ?",open_qa
Using examples taken from the text give me a summary of the main arguments in favour of slavery reparations in the United States and the anticipated cost of enacting such reparations,summarization
When was the wheel invented?,open_qa
write a scene between two actors discussing movie Inception,creative_writing
Did dinosaurs have lips?,general_qa
Are lilies safe for cats?,open_qa
What is Sunshine Recession?,open_qa
What is the currency in use in the Netherlands?,open_qa
What is the best tv series in the world,brainstorming
Who was the first to record the Needles and Pins song?,closed_qa
Provide me a list of the different types of harnesses used in rock climbing,summarization
Think of some family rules to promote a healthy family relationship,brainstorming
"In the series A Song of Ice and Fire, who is the founder of House Karstark?",open_qa
What is enriched air and why would divers dive with enriched air?,general_qa
What film won the 1943 Oscar as best film,open_qa
"which weighs more, cold or hot water?",open_qa
"Given this paragraph, what is the top speed of a Kia Stinger?",closed_qa
Write a short paragraph about why you should not have both a pet cat and a pet bird.,creative_writing
What is your favorite strip from the comic Calvin and Hobbes?,general_qa
What makes a formula one car so fast?,open_qa
Without quoting directly from the text give me a summary of the history of the Key Lime Pie.,summarization
What is LAPR?,open_qa
Is beauty objective or subjective?,general_qa
"Identify which instrument is string or percussion: Kpanlogo, Shamisen",classification
Why do potato chip bags become stale after opening?,general_qa
Classify each of the following as a primary color or a secondary color,classification
Where are the British Virgin Islands (BVI) and which islands are a part of the BVI?,closed_qa
"Does ""outbreeding"" or ""inbreeding"" benefit the offspring more?",closed_qa
What is the future for human?,general_qa
Name some of the bravolebrities from Vanderpump Rules,open_qa
Name some famous rock bands from the 1960s,open_qa
Who is Muhammad Ejaz Shafi,summarization
Who invented the telephone?,open_qa
Who are the Smiths?,summarization
Give me five ways in which I can make my homebrew beer more interesting,brainstorming
How many Grammy Awards has Bad Bunny won?,open_qa
When was the first Reading railway station opened?,closed_qa
What is HiFI?,information_extraction
What is a brown eared pheasant?,summarization
"Which of these are rappers? Eminem, Michael Jackson, Rihanna, 50 Cent",classification
Is it true that Lewis Hamilton won the championship in his first F1 season?,summarization
What are some kinds of embroidery stitches for writing letters?,brainstorming
What are the most common injuries in rowing?,summarization
What is a kite?,open_qa
"Classify each of the following pieces of equipment according to the sport they are used for, either basketball, football, or soccer: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, and goalie gloves.",classification
"Given this paragraph about Billie Eilish, tell me who produced her debut single, also tell me what is her chart-topping single?",closed_qa
What is a good way to get around without a car?,brainstorming
"Identify which animal species is alive or extinct: Palaeophis, Giant Tortoise",classification
"Why is Santa Cruz, California a great place to live?",general_qa
Give me some ideas to manage my manager.,brainstorming
Who was boxer John Baldwin,information_extraction
"Identify which instrument is string or percussion: Samphor, Viola toeria",classification
"If we were playing a game where we had to identify things that can be found inside a house, which of these would we call out: car, chair, table, park, cloud, microwave.",classification
